id;id_studio;numero;nome;data_apertura;data_chiusura;data_scadenza;stato;motivo_chiusura;id_titolare;prc_avanzato;version;valuta;id_template_pratica
1;7;Indiana Keyboard action-items;Guernsey;Handcrafted Steel Soap Practical magenta;pricing structure;clear-thinking Consultant Awesome Frozen Pants;78566;parse back-end parse;8;50815;Investment Account Solutions Buckinghamshire;relationships Rhode Island Optional;10579
2;0;Plastic Pennsylvania SQL;enterprise Costa Rican Colon;tan cross-media;Tasty;orchestration Strategist Baby;93573;empowering payment Health;2;3053;lime conglomeration;Borders transmitting AI;65303
3;4;global Program panel;withdrawal syndicate Officer;Grass-roots;Village Granite bandwidth-monitored;Diverse;9536;budgetary management;5;4514;United Arab Emirates Future SSL;Virtual;89998
4;4;Wisconsin Future-proofed Buckinghamshire;Indiana Wisconsin Cocos (Keeling) Islands;heuristic Multi-lateral;systems Metal;Money Market Account;55251;whiteboard;3;49975;Cotton;Tasty;47779
5;5;synergy backing up pink;innovative auxiliary conglomeration;Avon;Brand foreground Incredible;Incredible Soft Car;67316;Reduced;7;13919;Shirt;Internal;15652
6;4;Synergistic Sausages;Central;scale Arkansas Program;transparent Licensed Wooden Hat;Steel;40533;circuit Gorgeous;2;23402;Practical Multi-lateral;scale SMS;65172
7;1;invoice Switchable;reboot Tugrik;bandwidth-monitored Home Loan Account Internal;reciprocal dot-com Idaho;infomediaries hard drive;65726;Concrete;2;85516;United Arab Emirates;Falkland Islands Pound;95667
8;5;deposit;matrix;Cambridgeshire parsing bluetooth;Ergonomic Cotton;black deploy;76326;Global Pizza;8;78615;synthesize;Cambridgeshire Consultant card;36421
9;2;concept Internal;capacitor;withdrawal ivory navigating;salmon Handcrafted Fresh Towels Cambridgeshire;Web deposit;69095;Persevering Liberia;4;23635;Savings Account Unbranded Steel Salad;payment Internal;16819
10;1;Investment Account;Wooden Chair payment;Gloves;feed;Buckinghamshire;31592;Automotive;5;11726;paradigms Credit Card Account;primary Washington;64595
